Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^4,-1.20949E-6,1.00814E-7,3.60326E-6,4.38468E-6,0.00102
10^4,-1.20422E-6,1.06524E-7,3.68131E-6,4.54512E-6,0.00109
10^4,-1.20002E-6,1.06524E-7,3.80152E-6,4.71052E-6,0.00108
10^4,-1.19622E-6,1.61645E-7,3.91556E-6,4.88428E-6,0.00108
10^4,-1.19172E-6,1.61645E-7,3.99958E-6,5.0671E-6,0.00109
10^4,-1.18814E-6,1.82947E-7,4.12904E-6,5.25701E-6,0.00121
10^4,-1.18147E-6,1.98668E-7,4.22757E-6,5.4627E-6,0.00116
10^4,-1.17077E-6,2.14307E-7,4.33334E-6,5.68334E-6,0.0012
10^4,-1.16437E-6,2.14307E-7,4.45656E-6,5.89205E-6,0.00119
10^4,-1.16221E-6,2.30052E-7,4.56531E-6,6.12722E-6,0.00121
10^4,-1.15438E-6,2.45712E-7,4.68868E-6,6.37918E-6,0.00123
10^4,-1.14582E-6,2.6058E-7,4.81354E-6,6.62679E-6,0.00125
10^4,-1.13703E-6,2.78629E-7,4.92235E-6,6.93015E-6,0.00129
10^4,-1.13191E-6,2.97053E-7,5.03122E-6,7.22983E-6,0.0014
10^4,-1.1292E-6,3.29189E-7,5.16739E-6,7.5648E-6,0.00143
10^4,-1.1172E-6,3.29389E-7,5.30691E-6,7.94129E-6,0.00149
10^4,-1.11392E-6,3.41849E-7,5.43952E-6,8.30893E-6,0.00154
10^4,-1.1096E-6,3.58748E-7,5.57082E-6,8.75136E-6,0.00164
10^4,-1.10957E-6,3.76668E-7,5.70714E-6,9.20367E-6,0.00169
10^4,-1.10123E-6,3.93704E-7,5.84623E-6,9.65689E-6,0.00182
10^4,-1.09275E-6,4.1001E-7,5.98613E-6,1.03204E-5,0.00185
10^4,-1.0884E-6,4.27358E-7,6.14782E-6,1.06869E-5,0.00191
10^4,-1.08296E-6,4.44124E-7,6.29061E-6,1.12872E-5,0.00199
10^4,-1.07787E-6,4.61674E-7,6.44252E-6,1.19187E-5,0.00202
