Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^7,1.42863E-6,-1.68489E-6,-1.49093E-5,-7.96505E-5,-0.00309
10^7,1.41167E-6,-1.70258E-6,-1.51167E-5,-7.95439E-5,-0.00319
10^7,1.39108E-6,-1.71888E-6,-1.53134E-5,-7.93898E-5,-0.00327
10^7,1.37586E-6,-1.74227E-6,-1.5535E-5,-7.92163E-5,-0.00336
10^7,1.35672E-6,-1.75842E-6,-1.57734E-5,-7.89765E-5,-0.00344
10^7,1.33521E-6,-1.77873E-6,-1.60043E-5,-7.87095E-5,-0.00353
10^7,1.31734E-6,-1.79913E-6,-1.62723E-5,-7.84167E-5,-0.00362
10^7,1.29382E-6,-1.81711E-6,-1.65353E-5,-7.80211E-5,-0.00371
10^7,1.27176E-6,-1.83852E-6,-1.68199E-5,-7.75716E-5,-0.0038
10^7,1.24933E-6,-1.85513E-6,-1.71384E-5,-7.71307E-5,-0.00388
10^7,1.23566E-6,-1.87501E-6,-1.7443E-5,-7.65742E-5,-0.00397
10^7,1.21592E-6,-1.8949E-6,-1.77844E-5,-7.60056E-5,-0.00406
10^7,1.19131E-6,-1.91432E-6,-1.8152E-5,-7.25157E-5,-0.00414
10^7,1.17744E-6,-1.93579E-6,-1.85314E-5,-7.22308E-5,-0.00422
10^7,1.15662E-6,-1.95516E-6,-1.89257E-5,-7.20335E-5,-0.00432
10^7,1.1392E-6,-1.97883E-6,-1.93443E-5,-7.19247E-5,-0.00443
10^7,1.11265E-6,-1.99557E-6,-1.97876E-5,-7.20374E-5,-0.00453
10^7,1.09593E-6,-2.0176E-6,-2.02376E-5,-7.22415E-5,-0.00465
10^7,1.08052E-6,-2.03686E-6,-2.07069E-5,-7.26159E-5,-0.00476
10^7,1.0608E-6,-2.06064E-6,-2.11999E-5,-7.31609E-5,-0.00486
10^7,1.0411E-6,-2.08204E-6,-2.16942E-5,-7.38189E-5,-0.00499
10^7,1.02044E-6,-2.0998E-6,-2.22029E-5,-7.46697E-5,-0.00509
10^7,1.00367E-6,-2.12203E-6,-2.27206E-5,-7.57271E-5,-0.0052
10^7,9.83634E-7,-2.13908E-6,-2.32313E-5,-7.67132E-5,-0.0053
10^7,9.58933E-7,-2.16372E-6,-2.37416E-5,-7.8173E-5,-0.00541
10^7,9.24608E-7,-2.1736E-6,-2.42724E-5,-7.98597E-5,-0.00551
10^7,9.24608E-7,-2.18533E-6,-2.4779E-5,-8.17479E-5,-0.00561
10^7,9.05589E-7,-2.23953E-6,-2.52886E-5,-8.38752E-5,-0.00569
10^7,8.875E-7,-2.25081E-6,-2.58052E-5,-8.61922E-5,-0.00578
10^7,8.6836E-7,-2.2612E-6,-2.63068E-5,-8.87108E-5,-0.00588
10^7,8.49526E-7,-2.28442E-6,-2.68051E-5,-9.06105E-5,-0.00596
10^7,8.31463E-7,-2.30767E-6,-2.73057E-5,-9.3936E-5,-0.00603
10^7,8.13612E-7,-2.33554E-6,-2.78011E-5,-9.76978E-5,-0.00611
10^7,7.95108E-7,-2.35583E-6,-2.79381E-5,-1.0142E-4,-0.0062
10^7,7.90581E-7,-2.37433E-6,-2.84331E-5,-1.06079E-4,-0.00628
10^7,7.61508E-7,-2.39758E-6,-2.89239E-5,-1.11195E-4,-0.00636
10^7,5.86168E-7,-2.89022E-6,-3.51394E-5,-1.30252E-4,-0.00981
10^7,6.09225E-7,-2.62498E-6,-2.76735E-5,-1.07769E-4,-0.00969
10^7,7.31749E-7,-2.47256E-6,-2.45919E-5,-9.40448E-5,-0.00958
10^7,7.56163E-7,-2.34321E-6,-2.21971E-5,-8.37707E-5,-0.00947
10^7,7.77194E-7,-2.25558E-6,-2.02445E-5,-7.71388E-5,-0.0094
10^7,7.943E-7,-2.16393E-6,-1.86087E-5,-7.18686E-5,-0.00925
10^7,8.09755E-7,-2.0862E-6,-1.71968E-5,-6.75022E-5,-0.00912
10^7,8.24439E-7,-2.02052E-6,-1.59812E-5,-6.37047E-5,-0.00898
10^7,8.3996E-7,-1.95224E-6,-1.49012E-5,-6.03291E-5,-0.00882
10^7,8.52172E-7,-1.8898E-6,-1.39404E-5,-5.72701E-5,-0.00866
10^7,8.52172E-7,-1.82679E-6,-1.30837E-5,-5.44016E-5,-0.00851
10^7,8.65085E-7,-1.7782E-6,-1.23128E-5,-5.17233E-5,-0.00837
10^7,8.76937E-7,-1.7167E-6,-1.15989E-5,-4.91719E-5,-0.00821
10^7,8.88816E-7,-1.66752E-6,-1.09312E-5,-4.67208E-5,-0.00807
10^7,9.00393E-7,-1.61384E-6,-1.03413E-5,-4.43636E-5,-0.00794
10^7,9.11685E-7,-1.56691E-6,-9.86666E-6,-4.20733E-5,-0.00778
10^7,9.21182E-7,-1.51447E-6,-1.04897E-5,-3.98823E-5,-0.00762
10^7,9.32799E-7,-1.46719E-6,-8.79789E-6,-3.77887E-5,-0.00747
10^7,9.45529E-7,-1.41929E-6,-8.34159E-6,-3.57912E-5,-0.00732
10^7,9.57867E-7,-1.36741E-6,-7.9487E-6,-3.38528E-5,-0.00715
10^7,9.99178E-7,-1.32103E-6,-7.59207E-6,-3.20106E-5,-0.00698
10^7,1.00432E-6,-1.28212E-6,-7.26188E-6,-3.02643E-5,-0.00684
10^7,1.00829E-6,-1.2337E-6,-6.9445E-6,-2.85918E-5,-0.00666
10^7,1.01407E-6,-1.2337E-6,-6.65722E-6,-2.70497E-5,-0.0065
10^7,1.0155E-6,-1.19373E-6,-6.386E-6,-2.55499E-5,-0.00634
10^7,1.01745E-6,-1.14815E-6,-6.13556E-6,-2.40983E-5,-0.00618
10^7,1.03319E-6,-1.10875E-6,-5.89257E-6,-2.27674E-5,-0.00603
10^7,1.04616E-6,-1.07061E-6,-5.66668E-6,-2.15177E-5,-0.00586
10^7,1.05583E-6,-1.02439E-6,-5.4565E-6,-2.03222E-5,-0.00571
10^7,1.0667E-6,-9.51898E-7,-5.25303E-6,-1.91925E-5,-0.00555
10^7,1.0667E-6,-9.00547E-7,-5.11757E-6,-1.8123E-5,-0.0054
10^7,1.08272E-6,-8.4862E-7,-4.90674E-6,-1.7096E-5,-0.00526
10^7,1.08906E-6,-8.11603E-7,-4.70145E-6,-1.61478E-5,-0.0051
10^7,1.08906E-6,-7.72001E-7,-4.59544E-6,-1.52101E-5,-0.00494
10^7,1.09996E-6,-7.36974E-7,-4.38496E-6,-1.42811E-5,-0.0048
10^7,1.10749E-6,-7.36974E-7,-4.20375E-6,-1.34539E-5,-0.00465
10^7,1.12021E-6,-7.36157E-7,-4.02441E-6,-1.24886E-5,-0.00451
10^7,1.12391E-6,-6.67922E-7,-3.85308E-6,-1.15711E-5,-0.00437
10^7,1.13715E-6,-6.27577E-7,-3.69152E-6,-1.0652E-5,-0.00423
10^7,1.14302E-6,-5.92383E-7,-3.52773E-6,-1.01153E-5,-0.00408
10^7,1.153E-6,-5.53668E-7,-3.38096E-6,-1.03159E-5,-0.00394
10^7,1.16753E-6,-5.19614E-7,-3.22323E-6,-8.17165E-6,-0.0038
10^7,1.17491E-6,-4.79037E-7,-3.07679E-6,-7.34552E-6,-0.00367
10^7,1.18113E-6,-4.46122E-7,-2.93781E-6,-6.65594E-6,-0.00353
10^7,1.19502E-6,-4.07732E-7,-2.86391E-6,-6.09423E-6,-0.0034
10^7,1.19911E-6,-3.67789E-7,-2.71532E-6,-5.55198E-6,-0.00327
10^7,1.2055E-6,-3.33501E-7,-2.56689E-6,-5.07916E-6,-0.00313
10^7,1.21727E-6,-3.03654E-7,-2.43807E-6,-4.67666E-6,-0.00301
10^7,1.22333E-6,-2.59743E-7,-2.30761E-6,-4.18095E-6,-0.0029
10^7,1.23025E-6,-2.20588E-7,-2.18305E-6,-3.82502E-6,-0.00278
10^7,1.23388E-6,-1.91764E-7,-2.06431E-6,-3.4946E-6,-0.00265
10^7,1.24439E-6,-1.60657E-7,-1.94467E-6,-3.17893E-6,-0.00253
10^7,1.24983E-6,-1.56748E-7,-1.83875E-6,-3.11643E-6,-0.00242
10^7,1.25715E-6,-1.28561E-7,-1.73232E-6,-2.76883E-6,-0.0023
10^7,1.26847E-6,-1.09254E-7,-1.73405E-6,-2.62454E-6,-0.00218
10^7,1.26924E-6,-8.85062E-9,-1.58257E-6,-2.6461E-6,-0.00207
10^7,1.28135E-6,-7.38223E-9,-1.48656E-6,-2.84376E-6,-0.00196
10^7,1.2824E-6,-2.55013E-9,-1.42947E-6,-3.21465E-6,-0.00185
10^7,1.29939E-6,-1.38339E-9,-1.34027E-6,-3.58046E-6,-0.00174
10^7,1.30477E-6,2.98568E-9,-1.23792E-6,-3.70166E-6,-0.00163
10^7,1.31743E-6,9.84759E-9,-1.14648E-6,-3.51358E-6,-0.00153
10^7,1.31843E-6,1.03316E-8,-1.0655E-6,-3.03877E-6,-0.00142
10^7,1.33145E-6,1.04415E-8,-4.81176E-7,-2.41445E-6,-0.00131
10^7,1.3398E-6,1.34664E-7,-1.65226E-6,-1.83109E-6,-0.0012
10^7,1.34691E-6,1.90968E-7,-2.15532E-6,-1.44674E-6,-0.00109
10^7,1.35168E-6,2.54437E-7,-2.10415E-6,-1.42987E-6,-9.87797E-4
10^7,1.3569E-6,2.62758E-7,-3.32044E-7,-1.56843E-6,-8.88718E-4
10^7,1.36463E-6,2.81266E-7,-7.41505E-7,-1.28457E-6,-7.99059E-4
10^7,1.37691E-6,2.81266E-7,-5.82735E-7,-3.20348E-7,-7.14703E-4
10^7,1.37992E-6,3.12326E-7,-4.30188E-7,5.85653E-7,-6.36419E-4
10^7,1.38379E-6,3.12326E-7,-3.19624E-7,3.83882E-7,-5.64115E-4
10^7,1.38977E-6,3.41639E-7,-2.43368E-7,1.0335E-6,-4.96861E-4
10^7,1.39593E-6,3.5995E-7,-1.69595E-7,6.78563E-7,-4.37423E-4
10^7,1.40457E-6,3.76438E-7,-1.00407E-7,1.34596E-6,-3.86286E-4
10^7,1.40894E-6,4.12685E-7,-1.84906E-8,1.87102E-6,-3.41554E-4
10^7,1.41788E-6,4.27959E-7,3.83804E-8,2.34363E-6,-3.01896E-4
10^7,1.42299E-6,4.47299E-7,1.02042E-7,2.78816E-6,-2.64917E-4
10^7,1.43001E-6,4.72888E-7,-1.83041E-7,3.19862E-6,-2.27714E-4
10^7,1.43726E-6,4.94187E-7,-2.28911E-9,3.70882E-6,-1.91566E-4
10^7,1.45034E-6,5.16766E-7,1.79735E-6,4.34311E-6,-1.55971E-4
10^7,1.45723E-6,5.39268E-7,-2.05228E-7,5.06775E-6,-1.24238E-4
10^7,1.46088E-6,5.61682E-7,1.19225E-7,5.90867E-6,-1.00088E-4
10^7,1.46777E-6,5.82208E-7,2.05074E-7,6.8366E-6,-7.52709E-5
10^7,1.47973E-6,6.04617E-7,2.78347E-7,7.89717E-6,-5.34702E-5
10^7,1.48241E-6,6.25266E-7,3.67431E-7,9.15486E-6,-3.20309E-5
10^7,1.48997E-6,6.4935E-7,4.66158E-7,8.36285E-6,-1.26271E-5
10^7,1.49846E-6,6.67313E-7,5.48505E-7,8.48406E-6,1.3567E-5
10^7,1.50533E-6,6.90332E-7,6.46442E-7,8.78119E-6,7.6116E-5
10^7,1.51337E-6,6.91965E-7,7.52E-7,9.36669E-6,1.1757E-4
10^7,1.51803E-6,7.26853E-7,8.57476E-7,9.4532E-6,1.56534E-4
10^7,1.53169E-6,7.48513E-7,9.3609E-7,9.63311E-6,1.80906E-4
10^7,1.54038E-6,7.74248E-7,9.75623E-7,9.86788E-6,2.11785E-4
10^7,1.54701E-6,8.04007E-7,1.00472E-6,1.03957E-5,2.5237E-4
10^7,1.5507E-6,8.35817E-7,1.02221E-6,1.16835E-5,3.02661E-4
10^7,1.55887E-6,8.54963E-7,1.63254E-6,1.39502E-5,3.62446E-4
10^7,1.56205E-6,9.03874E-7,2.01124E-6,1.67949E-5,4.26246E-4
10^7,1.56568E-6,9.32728E-7,1.4428E-6,1.99595E-5,4.76667E-4
10^7,1.56856E-6,9.56893E-7,4.42898E-7,2.32226E-5,4.92846E-4
10^7,1.58135E-6,9.67808E-7,1.14996E-6,2.63271E-5,5.17918E-4
10^7,1.58325E-6,9.78909E-7,1.13038E-6,2.91126E-5,5.30165E-4
10^7,1.59085E-6,9.92837E-7,1.21669E-6,3.13556E-5,5.33588E-4
10^7,1.60345E-6,1.01565E-6,1.3003E-6,3.30984E-5,5.68634E-4
10^7,1.60872E-6,1.0324E-6,1.35338E-6,3.43463E-5,6.07828E-4
10^7,1.61684E-6,1.04582E-6,1.45775E-6,3.51254E-5,6.31348E-4
10^7,1.62826E-6,1.06409E-6,1.54893E-6,3.32812E-5,6.46714E-4
10^7,1.62961E-6,1.0793E-6,1.64698E-6,3.33437E-5,6.72286E-4
10^7,1.63514E-6,1.10211E-6,1.73533E-6,3.31281E-5,6.8871E-4
10^7,1.64612E-6,1.10211E-6,1.83807E-6,3.27268E-5,6.92039E-4
10^7,1.64835E-6,1.11786E-6,1.94212E-6,3.2243E-5,6.61815E-4
10^7,1.65412E-6,1.13794E-6,2.04865E-6,3.16165E-5,6.82215E-4
10^7,1.66055E-6,1.16759E-6,2.16782E-6,3.05797E-5,7.24697E-4
10^7,1.67254E-6,1.16897E-6,2.28701E-6,2.97344E-5,7.7657E-4
10^7,1.67282E-6,1.18861E-6,2.41519E-6,2.89103E-5,8.36848E-4
10^7,1.68096E-6,1.20128E-6,2.55954E-6,2.82412E-5,9.04515E-4
10^7,1.68632E-6,1.23161E-6,2.70979E-6,2.77305E-5,9.74106E-4
10^7,1.68938E-6,1.25387E-6,2.88208E-6,2.7382E-5,0.00103
10^7,1.69237E-6,1.26721E-6,3.07221E-6,2.71098E-5,0.00111
10^7,1.69808E-6,1.27995E-6,3.27515E-6,2.69868E-5,0.00119
10^7,1.70638E-6,1.29983E-6,3.51795E-6,2.68695E-5,0.00127
10^7,1.70999E-6,1.32462E-6,3.77397E-6,2.68067E-5,0.00135
10^7,1.71688E-6,1.34084E-6,4.06025E-6,2.67448E-5,0.00143
10^7,1.72195E-6,1.35981E-6,4.31985E-6,2.67927E-5,0.00152
10^7,1.72695E-6,1.38152E-6,4.60599E-6,2.59945E-5,0.00161
10^7,1.73667E-6,1.38909E-6,4.98099E-6,2.62918E-5,0.00171
10^7,1.73844E-6,1.40475E-6,5.33945E-6,2.67131E-5,0.00179
10^7,1.74525E-6,1.42366E-6,5.6993E-6,2.71541E-5,0.00186
10^7,1.75309E-6,1.44449E-6,6.06684E-6,2.76388E-5,0.00195
10^7,1.75353E-6,1.4626E-6,6.44575E-6,2.81606E-5,0.00202
10^7,1.76462E-6,1.47479E-6,6.83824E-6,2.87224E-5,0.00208
10^7,1.76704E-6,1.49401E-6,7.23239E-6,2.92977E-5,0.00213
10^7,1.77825E-6,1.51037E-6,7.62621E-6,2.99042E-5,0.00216
10^7,1.77999E-6,1.52663E-6,8.02088E-6,3.05192E-5,0.00217
10^7,1.78406E-6,1.5466E-6,8.4085E-6,3.1179E-5,0.00216
10^7,1.7886E-6,1.56456E-6,8.80868E-6,3.18623E-5,0.00213
10^7,1.79103E-6,1.57803E-6,9.20793E-6,3.25725E-5,0.0021
10^7,1.80252E-6,1.60138E-6,9.61387E-6,3.33492E-5,0.00206
10^7,1.80836E-6,1.61418E-6,9.94154E-6,3.41585E-5,0.00202
10^7,1.81256E-6,1.63382E-6,1.02687E-5,3.50554E-5,0.00199
10^7,1.81654E-6,1.64333E-6,1.07442E-5,3.60398E-5,0.00196
10^7,1.82139E-6,1.66655E-6,1.09969E-5,3.71296E-5,0.00193
10^7,1.82851E-6,1.68073E-6,1.13322E-5,3.72945E-5,0.00192
10^7,1.83079E-6,1.68462E-6,1.1697E-5,3.84765E-5,0.0019
10^7,1.83603E-6,1.70152E-6,1.20735E-5,4.0059E-5,0.0019
10^7,1.84103E-6,1.71983E-6,1.24299E-5,4.17768E-5,0.00188
10^7,1.8467E-6,1.73639E-6,1.27861E-5,4.36274E-5,0.00186
10^7,1.85004E-6,1.75382E-6,1.31179E-5,4.56101E-5,0.00186
10^7,1.85997E-6,1.76612E-6,1.34279E-5,4.76763E-5,0.00188
10^7,1.86713E-6,1.78357E-6,1.37689E-5,4.98197E-5,0.00189
10^7,1.87393E-6,1.79968E-6,1.40928E-5,5.20551E-5,0.0019
10^7,1.87916E-6,1.80953E-6,1.44183E-5,5.42976E-5,0.00193
10^7,1.88207E-6,1.82637E-6,1.47325E-5,5.65066E-5,0.00195
10^7,1.88628E-6,1.84087E-6,1.50306E-5,5.86916E-5,0.00198
10^7,1.88787E-6,1.85349E-6,1.53404E-5,6.07651E-5,0.00201
10^7,1.89499E-6,1.86787E-6,1.56347E-5,6.27881E-5,0.00204
10^7,1.90062E-6,1.88183E-6,1.59361E-5,6.47161E-5,0.00208
10^7,1.90712E-6,1.89614E-6,1.62376E-5,6.65252E-5,0.00212
10^7,1.91707E-6,1.91074E-6,1.65291E-5,6.82502E-5,0.00218
10^7,1.91801E-6,1.91749E-6,1.65546E-5,6.92569E-5,0.00223
10^7,1.9288E-6,1.9197E-6,1.68621E-5,7.07821E-5,0.00229
10^7,1.93258E-6,1.93533E-6,1.71771E-5,7.20701E-5,0.00236
10^7,1.93436E-6,1.95214E-6,1.74802E-5,7.34753E-5,0.00243
10^7,1.94152E-6,1.96523E-6,1.77809E-5,7.48619E-5,0.00249
10^7,1.95003E-6,1.97947E-6,1.80793E-5,7.61812E-5,0.00255
10^7,1.95709E-6,1.99228E-6,1.83628E-5,7.75241E-5,0.00265
10^7,1.95845E-6,2.00216E-6,1.86465E-5,7.88246E-5,0.00274
10^7,1.96461E-6,2.01702E-6,1.8908E-5,8.00803E-5,0.00284
10^7,1.96882E-6,2.03209E-6,1.91469E-5,8.1368E-5,0.00294
10^7,1.97264E-6,2.05013E-6,1.93814E-5,8.25916E-5,0.00305
10^7,1.97856E-6,2.0615E-6,1.95909E-5,8.38425E-5,0.00316
10^7,1.98483E-6,2.08567E-6,1.97848E-5,8.51075E-5,0.00325
10^7,1.99321E-6,2.10326E-6,1.99625E-5,8.40014E-5,0.00334
10^7,1.99726E-6,2.12321E-6,2.01212E-5,8.53019E-5,0.00344
10^7,2.0051E-6,2.14468E-6,2.02766E-5,8.66096E-5,0.00353
10^7,2.0055E-6,2.1675E-6,2.04155E-5,8.79242E-5,0.00363
10^7,2.0071E-6,2.19369E-6,2.05707E-5,8.92449E-5,0.00374
10^7,2.01707E-6,2.21951E-6,2.03069E-5,9.04919E-5,0.00383
10^7,2.0213E-6,2.2472E-6,2.04815E-5,9.14623E-5,0.00395
10^7,2.02732E-6,2.27651E-6,2.06855E-5,9.25723E-5,0.00404
10^7,2.03411E-6,2.30457E-6,2.08884E-5,9.35677E-5,0.00413
10^7,2.0404E-6,2.33936E-6,2.11068E-5,9.43695E-5,0.0042
10^7,2.0421E-6,2.37949E-6,2.08653E-5,9.49488E-5,0.00428
10^7,2.04835E-6,2.41396E-6,2.11563E-5,9.52311E-5,0.00436
10^7,2.05014E-6,2.45546E-6,2.14369E-5,9.51128E-5,0.00443
10^7,2.05573E-6,2.49772E-6,2.17302E-5,9.40574E-5,0.0045
10^7,2.06134E-6,2.5415E-6,2.20399E-5,9.283E-5,0.00457
10^7,2.06952E-6,2.58341E-6,2.23777E-5,9.09654E-5,0.00465
10^7,2.07142E-6,2.62731E-6,2.27187E-5,8.87307E-5,0.00471
10^7,2.07722E-6,2.68083E-6,2.30858E-5,8.65206E-5,0.00479
10^7,2.07996E-6,2.71856E-6,2.34751E-5,8.61846E-5,0.00486
10^7,2.08824E-6,2.76867E-6,2.38831E-5,8.74431E-5,0.00497
10^7,2.09039E-6,2.82544E-6,2.43085E-5,8.96403E-5,0.00504
10^7,2.10119E-6,2.87158E-6,2.44976E-5,9.22156E-5,0.0051
10^7,2.10203E-6,2.91692E-6,2.4995E-5,9.49988E-5,0.00517
10^7,2.10203E-6,2.96757E-6,2.55127E-5,9.78554E-5,0.00524
10^7,2.10203E-6,3.02412E-6,2.60799E-5,1.00486E-4,0.00531
10^7,2.10203E-6,3.05586E-6,2.67053E-5,1.02901E-4,0.00539
10^7,2.10203E-6,3.10775E-6,2.73717E-5,1.05887E-4,0.00548
10^7,2.10203E-6,3.10775E-6,2.80936E-5,1.08921E-4,0.00558
10^7,2.10203E-6,3.10775E-6,2.88706E-5,1.12001E-4,0.00569
10^7,2.10203E-6,3.10775E-6,2.7517E-5,1.05532E-4,0.00581
10^7,2.10203E-6,3.10775E-6,2.62976E-5,9.97271E-5,0.00567
10^7,2.10203E-6,3.10775E-6,2.51644E-5,9.34604E-5,0.00556
10^7,2.10203E-6,3.03508E-6,2.40405E-5,8.82806E-5,0.00545
10^7,2.09572E-6,2.97112E-6,2.28428E-5,8.34542E-5,0.00537
10^7,2.07888E-6,2.91669E-6,2.18646E-5,7.89871E-5,0.00529
10^7,2.06903E-6,2.85465E-6,2.09556E-5,7.42648E-5,0.00522
10^7,2.05135E-6,2.79664E-6,2.00703E-5,7.04721E-5,0.00514
10^7,2.04925E-6,2.7421E-6,1.92459E-5,6.69354E-5,0.00507
10^7,2.03014E-6,2.69065E-6,1.84637E-5,6.36009E-5,0.00499
10^7,2.01962E-6,2.63189E-6,1.77103E-5,6.04684E-5,0.00491
10^7,2.00876E-6,2.58415E-6,1.70085E-5,5.75338E-5,0.00484
10^7,1.99822E-6,2.53316E-6,1.63344E-5,5.47331E-5,0.00477
10^7,1.98333E-6,2.48822E-6,1.56925E-5,5.21244E-5,0.0047
10^7,1.9713E-6,2.43663E-6,1.51008E-5,4.96406E-5,0.00463
10^7,1.96475E-6,2.3906E-6,1.45274E-5,4.72943E-5,0.00456
10^7,1.95446E-6,2.3469E-6,1.39829E-5,4.50761E-5,0.00449
10^7,1.94321E-6,2.30105E-6,1.34598E-5,4.29621E-5,0.00441
10^7,1.92697E-6,2.25802E-6,1.29748E-5,4.09662E-5,0.00435
10^7,1.92565E-6,2.21357E-6,1.25192E-5,3.90582E-5,0.00428
10^7,1.90948E-6,2.18025E-6,1.2067E-5,3.72593E-5,0.0042
10^7,1.90061E-6,2.13372E-6,1.16581E-5,3.55492E-5,0.00413
10^7,1.89581E-6,2.09577E-6,1.12756E-5,3.39037E-5,0.00406
10^7,1.88596E-6,2.05478E-6,1.08852E-5,3.2364E-5,0.00399
10^7,1.87181E-6,2.01995E-6,1.05174E-5,3.08837E-5,0.00392
10^7,1.8672E-6,1.97982E-6,1.01705E-5,2.94738E-5,0.00385
10^7,1.85714E-6,1.94254E-6,1.03398E-5,2.81454E-5,0.00378
10^7,1.84153E-6,1.90618E-6,1.00902E-5,2.68752E-5,0.00371
10^7,1.83738E-6,1.8685E-6,9.2821E-6,2.56675E-5,0.00363
10^7,1.82577E-6,1.83577E-6,8.9678E-6,2.45171E-5,0.00355
10^7,1.81818E-6,1.79997E-6,8.68649E-6,2.34233E-5,0.00348
10^7,1.80663E-6,1.77131E-6,8.426E-6,2.23684E-5,0.0034
10^7,1.79791E-6,1.73379E-6,8.18244E-6,2.13688E-5,0.00333
10^7,1.78649E-6,1.69765E-6,7.93815E-6,2.03998E-5,0.00325
10^7,1.77678E-6,1.67E-6,7.71012E-6,1.94713E-5,0.00319
10^7,1.77121E-6,1.63935E-6,7.48968E-6,1.85732E-5,0.0031
10^7,1.76026E-6,1.60305E-6,7.27681E-6,1.76983E-5,0.00302
10^7,1.74917E-6,1.57233E-6,7.17844E-6,1.68623E-5,0.00294
10^7,1.73571E-6,1.55467E-6,6.99578E-6,1.60269E-5,0.00286
10^7,1.72821E-6,1.51728E-6,6.73294E-6,1.52143E-5,0.00278
10^7,1.7185E-6,1.49152E-6,6.52199E-6,1.4399E-5,0.00271
10^7,1.71235E-6,1.44873E-6,6.3257E-6,1.36007E-5,0.00263
10^7,1.70467E-6,1.42216E-6,6.14225E-6,1.28174E-5,0.00255
10^7,1.69132E-6,1.39275E-6,5.95973E-6,1.20338E-5,0.00247
10^7,1.68194E-6,1.35807E-6,5.76992E-6,1.12725E-5,0.00239
10^7,1.6697E-6,1.33202E-6,5.59148E-6,1.0529E-5,0.00232
10^7,1.65942E-6,1.30472E-6,5.40239E-6,1.02437E-5,0.00225
10^7,1.6541E-6,1.27356E-6,5.22421E-6,9.16845E-6,0.00217
10^7,1.6428E-6,1.24177E-6,5.04503E-6,8.46706E-6,0.0021
10^7,1.63566E-6,1.21408E-6,4.85328E-6,7.82193E-6,0.00203
10^7,1.62402E-6,1.19252E-6,4.65902E-6,7.21564E-6,0.00195
10^7,1.61832E-6,1.15564E-6,4.46675E-6,6.64637E-6,0.00188
10^7,1.60814E-6,1.12375E-6,4.25867E-6,6.1109E-6,0.00181
10^7,1.59743E-6,1.09332E-6,4.0449E-6,5.59133E-6,0.00175
10^7,1.5919E-6,1.06709E-6,3.83106E-6,5.32701E-6,0.0017
10^7,1.57514E-6,1.03543E-6,3.6202E-6,4.71523E-6,0.00167
10^7,1.56636E-6,1.00381E-6,3.41134E-6,4.26135E-6,0.00164
10^7,1.55757E-6,9.68162E-7,3.26585E-6,3.85003E-6,0.00159
10^7,1.55307E-6,9.24978E-7,3.04355E-6,3.46014E-6,0.00152
10^7,1.53023E-6,8.90472E-7,2.8367E-6,3.11296E-6,0.00143
10^7,1.52716E-6,8.43193E-7,2.62889E-6,2.78326E-6,0.00135
10^7,1.52122E-6,8.07733E-7,2.42912E-6,2.46737E-6,0.00128
10^7,1.51545E-6,7.78846E-7,2.22236E-6,2.16379E-6,0.0012
10^7,1.50013E-6,7.78846E-7,2.02762E-6,1.84143E-6,0.00114
10^7,1.49212E-6,7.58802E-7,1.83088E-6,1.49856E-6,0.00108
10^7,1.48446E-6,7.45276E-7,1.64245E-6,1.15073E-6,0.00101
10^7,1.47397E-6,7.00731E-7,1.44849E-6,2.44108E-7,9.31102E-4
10^7,1.4632E-6,6.48974E-7,1.25949E-6,1.21601E-7,8.33748E-4
10^7,1.45564E-6,6.11361E-7,1.07415E-6,-3.1756E-7,7.74983E-4
10^7,1.44398E-6,5.74683E-7,4.43152E-7,-6.46716E-7,7.18698E-4
10^7,1.44086E-6,5.3888E-7,7.25986E-7,-9.0653E-7,6.62921E-4
10^7,1.43404E-6,5.01089E-7,3.6921E-7,-1.2759E-6,6.13524E-4
10^7,1.42017E-6,4.59877E-7,1.26576E-7,-1.77829E-7,5.67098E-4
10^7,1.41359E-6,4.17051E-7,2.22874E-6,-1.35788E-6,5.25274E-4
10^7,1.39989E-6,3.77078E-7,1.46827E-7,-1.09955E-6,4.86731E-4
10^7,1.3877E-6,3.32838E-7,-1.35101E-7,-1.37576E-6,4.49216E-4
10^7,1.37519E-6,2.87162E-7,-2.88007E-7,-1.6258E-6,4.10007E-4
10^7,1.37248E-6,2.80037E-7,-4.80968E-7,-1.85102E-6,3.70217E-4
10^7,1.36035E-6,2.52599E-7,-6.93556E-7,-2.07519E-6,3.31586E-4
10^7,1.35423E-6,2.42726E-7,-9.11305E-7,-2.29918E-6,2.9163E-4
10^7,1.34469E-6,1.45949E-7,-9.91989E-7,-2.4988E-6,2.5297E-4
10^7,1.33566E-6,1.10881E-7,-1.03836E-6,-2.7039E-6,2.16918E-4
10^7,1.32447E-6,1.00404E-8,-1.54303E-6,-2.88028E-6,1.86766E-4
10^7,1.31389E-6,9.76386E-9,-1.21684E-6,-3.10839E-6,1.5686E-4
10^7,1.3053E-6,4.16808E-9,-1.33552E-6,-3.32042E-6,1.27661E-4
10^7,1.29563E-6,2.48004E-9,-1.4524E-6,-3.54678E-6,1.09906E-4
10^7,1.2851E-6,-8.65092E-9,-1.58526E-6,-3.79001E-6,7.7273E-5
10^7,1.27871E-6,-1.03172E-8,-1.71384E-6,-4.07019E-6,5.66843E-5
